   60   2.4625  20.8729 619286.171 3.51 83.162 	  2016   1   1  0 29 30.000015 
   61   4.3125  20.4909 618946.706 3.61 77.920 	  2016   1   1  0 30  0.000013 
   62   6.1625  20.1076 618660.904 3.53 72.671 	  2016   1   1  0 30 30.000012 
   63   8.0125  19.7226 618428.736 3.26 67.491 	  2016   1   1  0 31  0.000010 
   64   9.8622  19.3351 618249.998 2.82 62.452 	  2016   1   1  0 31 30.000008 
   65  11.7117  18.9447 618124.312 2.22 57.610 	  2016   1   1  0 32  0.000006 
   66  13.5608  18.5508 618051.130 1.49 53.013 	  2016   1   1  0 32 30.000004 
   67  15.4094  18.1526 618029.735 0.66 48.687 	  2016   1   1  0 33  0.000003 
nan nan nan nan 
   68 -23.0172   1.9600 629027.593 1.48 175.367 	  2016   1   1  0 33 30.000001 
   69 -21.1769   1.5378 628039.520 3.52 176.011 	  2016   1   1  0 33 59.999999 
   70 -19.3354   1.1228 627088.104 5.76 176.783 	  2016   1   1  0 34 29.999997 
   71 -17.4926   0.7141 626175.564 8.25 177.720 	  2016   1   1  0 34 59.999996 
   72 -15.6487   0.3110 625303.988 11.06 178.882 	  2016   1   1  0 35 29.999994 
   73 -13.8038  -0.0872 624475.327 14.30 180.357 	  2016   1   1  0 35 59.999992 
   74 -11.9579  -0.4812 623691.384 18.12 182.286 	  2016   1   1  0 36 29.999990 
   75 -10.1112  -0.8717 622953.812 22.74 184.909 	  2016   1   1  0 36 59.999988 
   76  -8.2638  -1.2592 622264.105 28.46 188.661 	  2016   1   1  0 37 29.999987 
   77  -6.4157  -1.6443 621623.595 35.63 194.408 	  2016   1   1  0 37 59.999985 
   78  -4.5671  -2.0276 621033.447 44.43 204.032 	  2016   1   1  0 38 29.999983 
   79  -2.7179  -2.4096 620494.656 53.93 221.720 	  2016   1   1  0 38 59.999981 
   80  -0.8685  -2.7908 620008.041 59.72 252.816 	  2016   1   1  0 39 30.000020 
   81   0.9813  -3.1719 619574.247 56.32 287.092 	  2016   1   1  0 40  0.000018 
   82   2.8312  -3.5533 619193.743 47.21 308.401 	  2016   1   1  0 40 30.000016 
   83   4.6812  -3.9355 618866.818 37.96 319.842 	  2016   1   1  0 41  0.000014 
   84   6.5312  -4.3191 618593.584 30.27 326.487 	  2016   1   1  0 41 30.000013 
   85   8.3811  -4.7046 618373.974 24.14 330.733 	  2016   1   1  0 42  0.000011 
   86  10.2308  -5.0925 618207.750 19.22 333.660 	  2016   1   1  0 42 30.000009 
   87  12.0803  -5.4836 618094.495 15.18 335.797 	  2016   1   1  0 43  0.000007 
   88  13.9293  -5.8784 618033.627 11.77 337.428 	  2016   1   1  0 43 30.000005 
   89  15.7778  -6.2774 618024.394 8.84 338.717 	  2016   1   1  0 44  0.000004 
   90  17.6258  -6.6815 618065.882 6.26 339.764 	  2016   1   1  0 44 30.000002 
   91  19.4730  -7.0913 618157.023 3.95 340.636 	  2016   1   1  0 45  0.000000 
   92  21.3195  -7.5077 618296.594 1.85 341.377 	  2016   1   1  0 45 29.999998 
