   73  52.8393 -36.1829 626046.939 	  2016   1   1  0 35 59.999992 
   74  54.6436 -37.0354 626702.463 	  2016   1   1  0 36 29.999990 
   75  56.4424 -37.9550 627365.426 	  2016   1   1  0 36 59.999988 
   76  58.2348 -38.9531 628033.450 	  2016   1   1  0 37 29.999987 
   77  60.0200 -40.0436 628704.208 	  2016   1   1  0 37 59.999985 
   78  61.7966 -41.2436 629375.426 	  2016   1   1  0 38 29.999983 
   79  63.5632 -42.5747 630044.893 	  2016   1   1  0 38 59.999981 
   80  65.3176 -44.0643 630710.474 	  2016   1   1  0 39 30.000020 
   81  67.0573 -45.7473 631370.113 	  2016   1   1  0 40  0.000018 
   82  68.7788 -47.6691 632021.841 	  2016   1   1  0 40 30.000016 
   83  70.4776 -49.8895 632663.788 	  2016   1   1  0 41  0.000014 
   84  72.1474 -52.4880 633294.181 	  2016   1   1  0 41 30.000013 
   85  73.7793 -55.5716 633911.361 	  2016   1   1  0 42  0.000011 
   86  75.3611 -59.2852 634513.779 	  2016   1   1  0 42 30.000009 
   87  76.8746 -63.8249 635100.006 	  2016   1   1  0 43  0.000007 
   88  78.2938 -69.4505 635668.736 	  2016   1   1  0 43 30.000005 
   89  79.5803 -76.4866 636218.793 	  2016   1   1  0 44  0.000004 
   90  80.6792 -85.2795 636749.129 	  2016   1   1  0 44 30.000002 
   91  81.5174 -96.0507 637258.831 	  2016   1   1  0 45  0.000000 
   92  82.0129 -108.6091 637747.123 	  2016   1   1  0 45 29.999998 
   93  82.1011 -122.0939 638213.364 	  2016   1   1  0 45 59.999996 
   94  81.7689 -135.1767 638657.054 	  2016   1   1  0 46 29.999995 
   95  81.0633 -146.7422 639077.832 	  2016   1   1  0 46 59.999993 
   96  80.0636 -156.3385 639475.474 	  2016   1   1  0 47 29.999991 
   97  78.8487 -164.0583 639849.897 	  2016   1   1  0 47 59.999989 
   98  77.4811 -170.2224 640201.151 	  2016   1   1  0 48 29.999987 
   99  76.0054 -175.1738 640529.425 	  2016   1   1  0 48 59.999986 
  100  74.4525 -179.2003 640835.037 	  2016   1   1  0 49 29.999984 
  101  72.8433 177.4770 641118.437 	  2016   1   1  0 49 59.999982 
  102  71.1921 174.6937 641380.197 	  2016   1   1  0 50 29.999980 
  103  69.5090 172.3288 641621.015 	  2016   1   1  0 51  0.000019 
  104  67.8013 170.2924 641841.702 	  2016   1   1  0 51 30.000017 
  105  66.0742 168.5175 642043.183 	  2016   1   1  0 52  0.000015 
  106  64.3315 166.9532 642226.487 	  2016   1   1  0 52 30.000013 
  107  62.5762 165.5608 642392.745 	  2016   1   1  0 53  0.000012 
  108  60.8105 164.3099 642543.178 	  2016   1   1  0 53 30.000010 
  109  59.0360 163.1770 642679.098 	  2016   1   1  0 54  0.000008 
  110  57.2542 162.1430 642801.891 	  2016   1   1  0 54 30.000006 
  111  55.4661 161.1929 642913.018 	  2016   1   1  0 55  0.000004 
  112  53.6726 160.3144 643014.002 	  2016   1   1  0 55 30.000003 
  113  51.8744 159.4974 643106.419 	  2016   1   1  0 56  0.000001 
  114  50.0720 158.7335 643191.896 	  2016   1   1  0 56 29.999999 
  115  48.2661 158.0158 643272.092 	  2016   1   1  0 56 59.999997 
  116  46.4570 157.3386 643348.700 	  2016   1   1  0 57 29.999996 
  117  44.6449 156.6968 643423.429 	  2016   1   1  0 57 59.999994 
  118  42.8303 156.0862 643498.001 	  2016   1   1  0 58 29.999992 
  119  41.0134 155.5032 643574.136 	  2016   1   1  0 58 59.999990 
  120  39.1944 154.9448 643653.549 	  2016   1   1  0 59 29.999988 
  121  37.3734 154.4081 643737.935 	  2016   1   1  0 59 59.999987 
  122  35.5508 153.8910 643828.966 	  2016   1   1  1  0 29.999985 
  123  33.7265 153.3911 643928.273 	  2016   1   1  1  0 59.999983 
  124  31.9009 152.9069 644037.448 	  2016   1   1  1  1 29.999981 
  125  30.0739 152.4365 644158.025 	  2016   1   1  1  2  0.000020 
  126  28.2458 151.9787 644291.478 	  2016   1   1  1  2 30.000018 
  127  26.4165 151.5320 644439.210 	  2016   1   1  1  3  0.000016 
  128  24.5864 151.0953 644602.548 	  2016   1   1  1  3 30.000014 
  129  22.7553 150.6675 644782.728 	  2016   1   1  1  4  0.000013 
  130  20.9235 150.2477 644980.898 	  2016   1   1  1  4 30.000011 
  131  19.0911 149.8351 645198.102 	  2016   1   1  1  5  0.000009 
  132  17.2580 149.4287 645435.280 	  2016   1   1  1  5 30.000007 
  133  15.4245 149.0278 645693.258 	  2016   1   1  1  6  0.000005 
  134  13.5905 148.6318 645972.745 	  2016   1   1  1  6 30.000004 
  135  11.7562 148.2399 646274.326 	  2016   1   1  1  7  0.000002 
  136   9.9216 147.8515 646598.461 	  2016   1   1  1  7 30.000000 
  137   8.0869 147.4661 646945.476 	  2016   1   1  1  7 59.999998 
  138   6.2520 147.0830 647315.567 	  2016   1   1  1  8 29.999996 
  139   4.4172 146.7018 647708.791 	  2016   1   1  1  8 59.999995 
  140   2.5824 146.3218 648125.067 	  2016   1   1  1  9 29.999993 
  141   0.7477 145.9427 648564.175 	  2016   1   1  1  9 59.999991 
  142  -1.0867 145.5637 649025.756 	  2016   1   1  1 10 29.999989 
  143  -2.9209 145.1845 649509.309 	  2016   1   1  1 10 59.999987 
  144  -4.7547 144.8045 650014.194 	  2016   1   1  1 11 29.999986 
  145  -6.5881 144.4232 650539.636 	  2016   1   1  1 11 59.999984 
  146  -8.4209 144.0400 651084.721 	  2016   1   1  1 12 29.999982 
  147 -10.2532 143.6544 651648.404 	  2016   1   1  1 12 59.999980 
  148 -12.0848 143.2659 652229.510 	  2016   1   1  1 13 30.000019 
  149 -13.9156 142.8738 652826.738 	  2016   1   1  1 14  0.000017 
  150 -15.7457 142.4775 653438.665 	  2016   1   1  1 14 30.000015 
  151 -17.5749 142.0764 654063.753 	  2016   1   1  1 15  0.000013 
  152 -19.4031 141.6697 654700.353 	  2016   1   1  1 15 30.000012 
  153 -21.2302 141.2567 655346.712 	  2016   1   1  1 16  0.000010 
  154 -23.0562 140.8366 656000.978 	  2016   1   1  1 16 30.000008 
  155 -24.8810 140.4085 656661.210 	  2016   1   1  1 17  0.000006 
  156 -26.7045 139.9714 657325.383 	  2016   1   1  1 17 30.000004 
  157 -28.5266 139.5242 657991.395 	  2016   1   1  1 18  0.000003 
  158 -30.3472 139.0659 658657.080 	  2016   1   1  1 18 30.000001 
  159 -32.1662 138.5951 659320.211 	  2016   1   1  1 18 59.999999 
  160 -33.9835 138.1103 659978.512 	  2016   1   1  1 19 29.999997 
  161 -35.7990 137.6099 660629.667 	  2016   1   1  1 19 59.999996 
  162 -37.6125 137.0922 661271.328 	  2016   1   1  1 20 29.999994 
  163 -39.4239 136.5550 661901.123 	  2016   1   1  1 20 59.999992 
  164 -41.2331 135.9960 662516.671 	  2016   1   1  1 21 29.999990 
  165 -43.0397 135.4125 663115.586 	  2016   1   1  1 21 59.999988 
  166 -44.8438 134.8013 663695.488 	  2016   1   1  1 22 29.999987 
  167 -46.6449 134.1590 664254.015 	  2016   1   1  1 22 59.999985 
  168 -48.4428 133.4812 664788.829 	  2016   1   1  1 23 29.999983 
  169 -50.2372 132.7632 665297.630 	  2016   1   1  1 23 59.999981 
  170 -52.0277 131.9990 665778.159 	  2016   1   1  1 24 30.000020 
  171 -53.8138 131.1818 666228.214 	  2016   1   1  1 25  0.000018 
  172 -55.5950 130.3033 666645.655 	  2016   1   1  1 25 30.000016 
  173 -57.3705 129.3535 667028.414 	  2016   1   1  1 26  0.000014 
  174 -59.1395 128.3202 667374.503 	  2016   1   1  1 26 30.000013 
