Satellite GEO LOS Access File Created: 14-Feb-2016 11:20:54 
Satellite ID: 38782 
 
Viewer location: 0.0000 Lat,   0.0000 Lon,    0.0 m geodetic 
 
All times UTC

-----------------  Pass Summary -- GEO LOS  ------------------
Access  1 
	 01-Jan-2016 00:17:30 
	 01-Jan-2016 00:23:00 
	 Access duration is   5.50 minutes 
	 Max elevation is is 2.9 degs 
Access  2 
	 01-Jan-2016 09:16:30 
	 01-Jan-2016 09:20:30 
	 Access duration is   4.00 minutes 
	 Max elevation is is 1.4 degs 
Access  3 
	 01-Jan-2016 10:48:00 
	 01-Jan-2016 11:01:00 
	 Access duration is  13.00 minutes 
	 Max elevation is is 85.0 degs 
Access  4 
	 01-Jan-2016 12:29:30 
	 01-Jan-2016 12:32:00 
	 Access duration is   2.50 minutes 
	 Max elevation is is 0.7 degs 
Access  5 
	 01-Jan-2016 21:26:00 
	 01-Jan-2016 21:32:00 
	 Access duration is   6.00 minutes 
	 Max elevation is is 3.6 degs 
Access  6 
	 01-Jan-2016 22:59:00 
	 01-Jan-2016 23:11:00 
	 Access duration is  12.00 minutes 
	 Max elevation is 59.7 degs 

-----------  Elevation, Slant Range, Azimuth Summary  --------

            DATE        El(deg)  Slant R(km)     Az(degT) 
--------------------------------------------------------------
Access  1 
01-Jan-2016 21:29:00 	 3.61 	  2502.83 	 77.920 
01-Jan-2016 21:29:30 	 3.53 	  2510.15 	 72.671 
01-Jan-2016 21:30:00 	 3.26 	  2535.26 	 67.491 
01-Jan-2016 21:30:30 	 2.82 	  2577.65 	 62.452 
01-Jan-2016 21:31:00 	 2.22 	  2636.48 	 57.610 
01-Jan-2016 21:31:30 	 1.49 	  2710.64 	 53.013 
01-Jan-2016 21:32:00 	 0.66 	  2798.86 	 48.687 

Access  6 
01-Jan-2016 22:59:00 	 1.48 	  2734.26 	 175.367 
01-Jan-2016 22:59:30 	 3.52 	  2527.42 	 176.011 
01-Jan-2016 23:00:00 	 5.76 	  2321.39 	 176.783 
01-Jan-2016 23:00:30 	 8.25 	  2116.66 	 177.720 
01-Jan-2016 23:01:00 	 11.06 	  1913.89 	 178.882 
01-Jan-2016 23:01:30 	 14.30 	  1714.05 	 180.357 
01-Jan-2016 23:02:00 	 18.12 	  1518.57 	 182.286 
01-Jan-2016 23:02:30 	 22.74 	  1329.62 	 184.909 
01-Jan-2016 23:03:00 	 28.46 	  1150.67 	 188.661 
01-Jan-2016 23:03:30 	 35.63 	   987.45 	 194.408 
01-Jan-2016 23:04:00 	 44.43 	   849.29 	 204.032 
01-Jan-2016 23:04:30 	 53.93 	   750.34 	 221.720 
01-Jan-2016 23:05:00 	 59.72 	   707.39 	 252.816 
01-Jan-2016 23:05:30 	 56.32 	   730.43 	 287.092 
01-Jan-2016 23:06:00 	 47.21 	   813.85 	 308.401 
01-Jan-2016 23:06:30 	 37.96 	   941.66 	 319.842 
01-Jan-2016 23:07:00 	 30.27 	  1098.36 	 326.487 
01-Jan-2016 23:07:30 	 24.14 	  1273.19 	 330.733 
01-Jan-2016 23:08:00 	 19.22 	  1459.49 	 333.660 
01-Jan-2016 23:08:30 	 15.18 	  1653.21 	 335.797 
01-Jan-2016 23:09:00 	 11.77 	  1851.86 	 337.428 
01-Jan-2016 23:09:30 	 8.84 	  2053.81 	 338.717 
01-Jan-2016 23:10:00 	 6.26 	  2257.98 	 339.764 
01-Jan-2016 23:10:30 	 3.95 	  2463.62 	 340.636 
01-Jan-2016 23:11:00 	 1.85 	  2670.20 	 341.377 
